Latitude (decimal degrees):	19.130
Longitude (decimal degrees):	72.919
Elevation (m):	52
Radiation database:	PVGIS-SARAH


Slope: 0
Azimuth: 0
Date,Bi,Di,Ri,As,Tamb,W10,Int.
20160101:00-12,0.00,0.00,0.00,0.00,21.76,4.54,0
20160101:01-12,0.00,0.00,0.00,0.00,21.90,4.63,0
20160101:02-12,0.00,0.00,0.00,0.30,22.04,4.73,1
20160101:03-12,103.04,75.01,0.00,12.90,22.18,4.83,0
20160101:04-12,255.06,130.01,0.00,24.65,24.16,4.32,0
20160101:05-12,423.08,152.01,0.00,35.02,26.13,3.81,0
20160101:06-12,573.10,148.01,0.00,43.06,28.10,3.30,0
20160101:07-12,625.10,160.02,0.00,47.43,28.68,2.41,0
20160101:08-12,619.10,159.02,0.00,46.99,29.25,1.52,0
20160101:09-12,587.10,127.01,0.00,41.87,29.82,0.63,0
20160101:10-12,414.08,139.01,0.00,33.33,29.16,1.18,0
20160101:11-12,242.06,115.01,0.00,22.66,28.50,1.73,0
20160101:12-12,72.03,67.01,0.00,10.72,27.84,2.28,0
20160101:13-12,0.00,0.00,0.00,0.00,27.09,2.66,0
20160101:14-12,0.00,0.00,0.00,0.00,26.35,3.04,0
20160101:15-12,0.00,0.00,0.00,0.00,25.61,3.42,0
20160101:16-12,0.00,0.00,0.00,0.00,25.27,3.83,0
20160101:17-12,0.00,0.00,0.00,0.00,24.94,4.24,0
20160101:18-12,0.00,0.00,0.00,0.00,24.61,4.65,0
20160101:19-12,0.00,0.00,0.00,0.00,24.32,4.89,0
20160101:20-12,0.00,0.00,0.00,0.00,24.03,5.13,0
20160101:21-12,0.00,0.00,0.00,0.00,23.75,5.37,0
20160101:22-12,0.00,0.00,0.00,0.00,23.45,5.35,0
20160101:23-12,0.00,0.00,0.00,0.00,23.16,5.34,0
20160102:00-12,0.00,0.00,0.00,0.00,22.86,5.32,0
20160102:01-12,0.00,0.00,0.00,0.00,22.83,4.91,0
20160102:02-12,0.00,0.00,0.00,0.00,22.80,4.50,0
20160102:03-12,103.04,74.01,0.00,12.84,22.77,4.08,0
20160102:04-12,255.06,129.01,0.00,24.62,24.69,3.70,0
20160102:05-12,407.08,162.02,0.00,35.01,26.60,3.32,0
20160102:06-12,552.09,161.02,0.00,43.09,28.51,2.94,0
20160102:07-12,626.10,160.02,0.00,47.50,28.68,2.79,0
20160102:08-12,621.10,159.02,0.00,47.09,28.85,2.64,0
20160102:09-12,517.09,172.02,0.00,41.99,29.02,2.50,0
20160102:10-12,303.06,204.02,0.00,33.46,28.50,2.86,0
20160102:11-12,192.05,143.01,0.00,22.79,27.98,3.23,0
20160102:12-12,36.02,79.00,0.00,10.85,27.46,3.60,0
20160102:13-12,0.00,0.00,0.00,0.00,26.60,3.48,0
20160102:14-12,0.00,0.00,0.00,0.00,25.74,3.36,0
20160102:15-12,0.00,0.00,0.00,0.00,24.89,3.24,0
20160102:16-12,0.00,0.00,0.00,0.00,24.44,3.32,0
20160102:17-12,0.00,0.00,0.00,0.00,23.99,3.41,0
20160102:18-12,0.00,0.00,0.00,0.00,23.54,3.49,0
20160102:19-12,0.00,0.00,0.00,0.00,23.18,3.68,0
20160102:20-12,0.00,0.00,0.00,0.00,22.83,3.88,0
20160102:21-12,0.00,0.00,0.00,0.00,22.48,4.07,0
20160102:22-12,0.00,0.00,0.00,0.00,22.17,4.12,0
20160102:23-12,0.00,0.00,0.00,0.00,21.86,4.17,0
20160103:00-12,0.00,0.00,0.00,0.00,21.55,4.22,0
20160103:01-12,0.00,0.00,0.00,0.00,21.72,3.89,0
20160103:02-12,0.00,0.00,0.00,0.00,21.89,3.55,0
20160103:03-12,68.03,88.01,0.00,12.80,22.06,3.21,0
20160103:04-12,255.06,129.01,0.00,24.59,23.94,2.97,0
20160103:05-12,399.07,166.02,0.00,35.01,25.81,2.72,0
20160103:06-12,553.09,161.02,0.00,43.13,27.68,2.47,0
20160103:07-12,615.10,168.02,0.00,47.58,28.03,2.56,0
20160103:08-12,611.10,166.02,0.00,47.21,28.38,2.65,0
20160103:09-12,549.09,154.01,0.00,42.13,28.73,2.74,0
20160103:10-12,395.08,154.01,0.00,33.60,28.18,3.03,0
20160103:11-12,232.06,124.01,0.00,22.93,27.62,3.31,0
20160103:12-12,76.03,68.01,0.00,10.98,27.06,3.60,0
20160103:13-12,0.00,0.00,0.00,0.00,26.32,3.79,0
20160103:14-12,0.00,0.00,0.00,0.00,25.59,3.98,0
20160103:15-12,0.00,0.00,0.00,0.00,24.86,4.17,0
20160103:16-12,0.00,0.00,0.00,0.00,24.39,4.15,0
20160103:17-12,0.00,0.00,0.00,0.00,23.92,4.14,0
20160103:18-12,0.00,0.00,0.00,0.00,23.46,4.12,0
20160103:19-12,0.00,0.00,0.00,0.00,23.06,4.17,0
20160103:20-12,0.00,0.00,0.00,0.00,22.66,4.23,0
20160103:21-12,0.00,0.00,0.00,0.00,22.27,4.28,0
20160103:22-12,0.00,0.00,0.00,0.00,21.90,4.27,0
20160103:23-12,0.00,0.00,0.00,0.00,21.52,4.27,0
20160104:00-12,0.00,0.00,0.00,0.00,21.15,4.26,0
20160104:01-12,0.00,0.00,0.00,0.00,21.23,4.23,0
20160104:02-12,0.00,0.00,0.00,0.00,21.31,4.21,0
20160104:03-12,101.04,74.01,0.00,12.75,21.39,4.18,0
20160104:04-12,254.06,129.01,0.00,24.57,23.41,3.87,0
20160104:05-12,399.07,166.02,0.00,35.02,25.43,3.55,0
20160104:06-12,553.09,161.02,0.00,43.17,27.44,3.24,0
20160104:07-12,616.10,168.02,0.00,47.66,27.92,2.49,0
20160104:08-12,612.10,167.02,0.00,47.33,28.39,1.74,0
20160104:09-12,551.09,154.01,0.00,42.26,28.86,0.99,0
20160104:10-12,398.08,153.01,0.00,33.74,28.39,1.43,0
20160104:11-12,234.06,124.01,0.00,23.07,27.91,1.86,0
20160104:12-12,79.03,68.01,0.00,11.12,27.43,2.29,0
20160104:13-12,0.00,0.00,0.00,0.00,26.64,2.77,0
